Name,Last,High,Low,Chg.,Chg. %,Vol.,Time
Adidas,126.66,127.6,123.24,236.00%,1.90%,357.09K,11:35:43
Adyen,"1,502.40","1,542.60","1,477.00",18.8,1.27%,55.75K,11:35:10
Ahold Delhaize,27.96,28.14,27.85,0.01,0.02%,1.78M,11:35:15
Air Liquide,140.96,141.74,139.44,1.3,0.93%,661.88K,11:35:43
Airbus Group,113.26,114.08,112.86,-0.5,-0.44%,961.97K,11:35:05
Allianz,204.95,206.55,204.9,0.6,0.29%,788.20K,11:39:12
Anheuser Busch Inbev,54.53,54.66,53.99,0.48,0.89%,1.09M,11:35:09
ASML Holding,577.5,587.4,575.4,-6.2,-1.06%,391.81K,11:35:13
AXA,27.27,27.6,27.18,0.14,0.53%,3.73M,11:35:27
BASF,49.885,50.04,49.305,0.615,1.25%,1.93M,11:40:53
Bayer,55.51,55.62,54.47,1.02,1.87%,1.74M,11:35:09
BBVA,5.58,5.598,5.524,0.044,0.79%,8.36M,11:35:04
BMW ST,84.01,84.82,83.78,0.24,0.29%,849.77K,11:38:52
BNP Paribas,53.23,53.46,52.95,0.49,0.93%,1.94M,11:35:26
CRH,38.72,38.94,38.51,0.33,0.86%,662.96K,11:30:08
Daimler,62.5,62.66,62.02,0.42,0.68%,1.18M,11:39:28
Danone,50.47,50.98,50.47,-0.11,-0.22%,951.57K,11:35:02
Deutsche Boerse,173.4,174.75,172.95,-0.75,-0.43%,182.00K,11:35:26
Deutsche Post,38.34,38.65,38.115,0.335,0.88%,1.73M,11:36:04
Deutsche Telekom AG,19.702,19.862,19.572,0.142,0.73%,5.89M,11:35:11
Enel,5.153,5.179,5.086,0.09,1.78%,21.15M,11:35:56
Eni SpA,14.184,14.232,14.02,0.064,0.45%,9.17M,11:35:43
EssilorLuxottica,174.75,175.6,173.65,-0.4,-0.23%,266.35K,11:35:43
Flutter Entertainment,"11,820.00","11,835.00","11,645.00",70,0.60%,683.11K,12:03:28
Hermes International,"1,487.00","1,498.00","1,474.50",0,0.00%,42.59K,11:35:43
Iberdrola,10.79,10.86,10.765,0.03,0.28%,10.13M,11:35:04
Inditex,25.06,25.18,24.73,0.1,0.40%,1.92M,11:35:04
Infineon,31.85,32.25,31.585,0.165,0.52%,2.14M,11:35:02
ING Groep,11.55,11.57,11.47,0.08,0.66%,11.66M,11:35:09
Intesa Sanpaolo,2.16,2.1625,2.145,0.0155,0.72%,53.33M,11:35:43
Kering,547.7,550.4,538.1,1.6,0.29%,132.75K,11:35:43
KONE Oyj,47.64,47.76,46.6,1.16,2.50%,645.45K,11:29:51
L'Oreal,351.3,351.85,347.45,2.35,0.67%,203.76K,11:35:43
Linde PLC,334,334,330.5,3.15,0.95%,374.62K,11:37:14
Louis Vuitton,702.2,704,697.1,0.3,0.04%,244.55K,11:36:06
Munich Re Group,295.8,299.2,295.7,-2,-0.67%,242.17K,11:35:17
Pernod Ricard,190.65,191.55,188.05,0.85,0.45%,323.77K,11:35:06
Philips,13.93,14.08,13.74,0.22,1.62%,1.98M,11:35:10
Prosus,58.75,58.96,57.21,0.91,1.57%,1.73M,11:35:26
Safran,116.44,116.82,115.58,0.06,0.05%,548.13K,11:35:43
Sanofi,87,87.27,86.23,0.45,0.52%,842.42K,11:35:29
Santander,2.786,2.812,2.768,0.012,0.41%,38.38M,11:35:04
SAP,105.46,106.54,105.08,-0.14,-0.13%,970.77K,11:35:03
Schneider Electric,142.78,143.94,142,0.7,0.49%,467.17K,11:35:43
Siemens AG,130.96,132,130.2,0.28,0.21%,635.11K,11:35:52
Stellantis NV,14.654,14.698,14.502,0.19,1.31%,5.00M,11:35:07
TotalEnergies SE,57.82,58.34,57.65,0.21,0.36%,3.99M,11:35:20
Vinci,96.8,97.35,96.27,0.54,0.56%,582.92K,11:35:43
Volkswagen VZO,137,138.2,137,-0.14,-0.10%,840.95K,11:35:12
Vonovia,24.51,24.57,23.11,1.27,5.46%,14.59K,12:24:00
